Event,Artist,Event__location,Description,URL,Event__start,Event__end,District,Address,PLZ,Category,Tag,Time_start,Time_end,,
Original Pflaumenbaum Revival Party X.,,Ballhaus Spandau,"Willkommen zur besten Party der Stadt, hier gibt es Stimmung satt!  Zu diesem Event          								          									                    	Corona-Update! Revival Party erneut verlegt, Location geändert! NEUER TERMIN: Samstag, den 22.05.2021 LOCATION: Ballhaus Spandau **********************************Unglaublich! Die Original Pflaumenbaum Revival Party feiert Ausgabe 10 Stimmung wie in alten Zeiten....In der Zeit vom 15.10.1990 – 06.08.2003 war die gemütliche Schunkelkneipe eine beliebte Adresse in Berlin. Hier musste man am Wochenende bei Wind und Wetter teilweise bis zu 90 Minuten anstehen, um überhaupt einen Stehplatz zu ergattern. Jeden Tag geöffnet fanden immer wieder innovative  Aktionen statt um die Gäste mit kleinen Aufmerksamkeiten bei Laune zu halten. Es wurden Luftschlangen, Erdnüsse, Bonbons, Lollies und natürlich kleine Pflaumenschnäpse (Pfläumchen) verteilt. Pünktlich um 0.00 Uhr wurden Wunderkerzen zum  Titel „New York – New York“ von Frank Sinatra entflammt. Die Musikauswahl bestand aus Oldies, Stimmungsliedern, sowie moderne Musik. Am Samstag, den 22.05.2021 wird  Dj Frankie b.  genau diese Songs die er damals sieben Jahre lang in diesem Laden aufgelegt hat noch einmal aufleben lassen, dazu wird geschunkelt, geflirtet, getanzt und viel gesungen.Im ältesten Club Europas, dem Ballhaus Spandau  werden wir die urgemütliche Atmosphäre des Pflaumenbaumes für eine Nacht wieder aufleben lassen..Die Stimmung und auch das Ambiente der Pflaumen-Baum Revival Party ist genauso rustikal wie sie damals der Pflaumen-Baum war. Die Gäste.  kommen in dem Outfit in dem sie sich wohlfühlen. Teilweise wird das  Pflaumen-Baum Team von damals unter den Gästen anzutreffen sein,  einige Zusagen haben uns bereits erreicht. Manchmal ist es recht amüsant die Zeit für eine Nacht zurückzudrehen. Auf unserer Revival Party, die wir in diesem Jahr zum neunten und zehnten Mal wiederholen trifft man erfahrungsgemäß auch auch die Menschen, die man aus der  Zeit des Pflaumen-Baum Erfolges der 90er Jahre kennt.Wir freuen uns erneut auf ein tolles Fest mit gut gelaunten Gästen, Wunderkerzen, Erdnüssen, Eis am Stiel, Konfetti, Polonaise, Pflaumenwein und Pfläumchen. Die wilde Zeit beginnt wieder, zwei Tage Ausnahmezustand mit dem Original Pflaumenbaum DJ Frankie b. und natürlich den besten Partygästen der Welt im Hangar und im Zelt?, direkt an der Start-und Landebahn des Flughafen Tegel.Eintrittskarten  15,00 € (inkl.19% MwSt, zzgl. Ticketgebühr). Wir empfehlen in jedem Fall den Vorverkauf , da wir wie damals im Pflaumen-Baum nur über eine begrenzte Anzahl von Plätzen verfügen.Der Ort des Geschehens:Ballhaus Spandau Dorfstr. 5, 13597 Berlin DIE SHOWAGENTEN – Eventagentur aus Berlin – WIR FREUEN UNS SCHON JETZT AUF EINEN SCHWUNGVOLL SCHÖNEN ABEND!Die SHOWAGENTEN präsentieren das ganze Jahr über unterschiedlichste Events alle Genrationen. Von rustikal bis edel veranstalten wir Partys, Konzerte, Adventures und Incentives in Berlin und darüber hinaus. Für einen schnellen Überblick über unsere Aktivitäten empfehlen wir die SHOWAGENTEN APP.Pflaumenbaum Revival Website:www.showagenten.de/pflaumen-baum-rivival-party",,22/05/2021,23/05/2021,Charlottenburg,Dorfstr. 5,13597 ,party,,20:00,05:00,,
Original Pflaumenbaum-Revival Party XI.,,Ballhaus Spandau,"Willkommen zu besten Party der Stadt, hier gibt es Stimmung satt!  Zu diesem Event          								          									                    	Corona-Update! Revival Party erneut verlegt, Location geändert! NEUER TERMIN: Samstag, den 22.05.2021 LOCATION: Ballhaus Spandau **********************************Unglaublich! Die Original Pflaumenbaum Revival Party feiert Ausgabe 10Stimmung wie in alten Zeiten....In der Zeit vom 15.10.1990 – 06.08.2003 war die gemütliche Schunkelkneipe eine beliebte Adresse in Berlin. Hier musste man am Wochenende bei Wind und Wetter teilweise bis zu 90 Minuten anstehen, um überhaupt einen Stehplatz zu ergattern. Jeden Tag geöffnet fanden immer wieder innovative  Aktionen statt um die Gäste mit kleinen Aufmerksamkeiten bei Laune zu halten. Es wurden Luftschlangen, Erdnüsse, Bonbons, Lollies und natürlich kleine Pflaumenschnäpse (Pfläumchen) verteilt. Pünktlich um 0.00 Uhr wurden Wunderkerzen zum  Titel „New York – New York“ von Frank Sinatra entflammt. Die Musikauswahl bestand aus Oldies, Stimmungsliedern, sowie moderne Musik. Am Samstag (22.05.2021) wird  Dj Frankie b.  genau diese Songs die er damals sieben Jahre lang in diesem Laden aufgelegt hat noch einmal aufleben lassen, dazu wird geschunkelt, geflirtet, getanzt und viel gesungen.Im ältesten Club Europas, dem Ballhaus Spandau  werden wir die urgemütliche Atmosphäre des Pflaumenbaumes für eine Nacht wieder aufleben lassen..Die Stimmung und auch das Ambiente der Pflaumen-Baum Revival Party ist genauso rustikal wie sie damals der Pflaumen-Baum war. Die Gäste.  kommen in dem Outfit in dem sie sich wohlfühlen. Teilweise wird das  Pflaumen-Baum Team von damals unter den Gästen anzutreffen sein,  einige Zusagen haben uns bereits erreicht. Manchmal ist es recht amüsant die Zeit für eine Nacht zurückzudrehen. Auf unserer Revival Party, die wir in diesem Jahr zum neunten und zehnten Mal wiederholen trifft man erfahrungsgemäß auch auch die Menschen, die man aus der  Zeit des Pflaumen-Baum Erfolges der 90er Jahre kennt.Wir freuen uns erneut auf ein tolles Fest mit gut gelaunten Gästen, Wunderkerzen, Erdnüssen, Eis am Stiel, Konfetti, Polonaise, Pflaumenwein und Pfläumchen. Die wilde Zeit beginnt wieder, zwei Tage Ausnahmezustand mit dem Original Pflaumenbaum DJ Frankie b. und natürlich den besten Partygästen der Welt im Hangar und im Zelt?, direkt an der Start-und Landebahn des Flughafen Tegel.Eintrittskarten  15,00 € (inkl.19% MwSt, zzgl. Ticketgebühr), im Preis ist ein Begrüßungsgetränk enthalten. Wir empfehlen in jedem Fall den Vorverkauf , da wir wie damals im Pflaumen-Baum nur über eine begrenzte Anzahl von Plätzen verfügen.Der Ort des Geschehens:Ballhaus Spandau Dorfstr. 5, 13597 Berlin DIE SHOWAGENTEN – Eventagentur aus Berlin – WIR FREUEN UNS SCHON JETZT AUF EINEN SCHWUNGVOLL SCHÖNEN ABEND!Die SHOWAGENTEN präsentieren das ganze Jahr über unterschiedlichste Events alle Genrationen. Von rustikal bis edel veranstalten wir Partys, Konzerte, Adventures und Incentives in Berlin und darüber hinaus. Für einen schnellen Überblick über unsere Aktivitäten empfehlen wir die SHOWAGENTEN APP.Pflaumenbaum Revival Website:www.showagenten.de/pflaumen-baum-rivival-party",,22/05/2021,23/05/2021,Charlottenburg,Dorfstr. 5,13597 ,party,,20:00,05:00,,
Sunglasses @ Night - 80er Jahre Party in Velten - 17.04.2021,,Ofen Stadt Halle,"wir feiern mit Euch die beste 80er Jahre Party in Velten und der Umgebung.  Zu diesem Event          								          									                    	Nun auch endlich wieder Sunglasses @ Night in Velten - die 80er Party- Endlich. Die legendäre Sunglasses @ Night – 80er Jahre Party Reihe wird auch in Velten starten. Am 17.04.2021 wird die Ofen Stadt Halle mit den besten Songs der 80er Jahre zum Beben gebracht. DJ NC Chris wird den tanzwütigen 80er Jahre Fans ordentlich einheizen.  Tickets gibt es an allen bekannten Touristinfo in der Region und auch online bei eventbrite (https://www.eventbrite.de/o/v-event-gmbh-4595191743)Das wird gut, das fetzt ein! Kommt also alle, dann ist woanders mehr Platz!",,17/04/2021,18/04/2021,Other,Katersteig 3,16727 Velten,party,,20:00,03:00,,
Sommerempfang 2021,,Zollpackhof,"Der Rotary Club Berlin-Platz der Republik lädt zum Outdoor-Sommerfest mit Ämterübergabe im Jahr 2021.  About this Event          								          									                    	Im Preis inbegriffen ist ein Begrüßungsgetränk sowie ein  Grillbuffet.Dabei gibt es sowohl vegetarische Vorspeisen und Desserts, als auch vom Grill mit Kräuterbutter geröstete Ofenkartoffeln und Carponata-Pfannengemüse.Im Teilnahmebeitrag enthalten ist  eine Spende in Höhe von 10,00 Euro zugunsten der vom Club unterstützen lokalen Projekte.",,29/06/2021,29/06/2021,Tiergarten,Elisabeth-Abegg-Straße 1,10557 ,party,,19:00,22:00,,
Sommerempfang 2021(2,,Zollpackhof,"Der Rotary Club Berlin-Platz der Republik lädt zum Outdoor-Sommerfest mit Ämterübergabe im Jahr 2021.  About this Event          								          									                    	Im Preis inbegriffen ist ein Begrüßungsgetränk sowie ein  Grillbuffet.Dabei gibt es sowohl vegetarische Vorspeisen und Desserts, als auch vom Grill mit Kräuterbutter geröstete Ofenkartoffeln und Carponata-Pfannengemüse.Im Teilnahmebeitrag enthalten ist  eine Spende in Höhe von 10,00 Euro zugunsten der vom Club unterstützen lokalen Projekte.",https://berlin-platz-der-republik.rotary.de/,29/06/2021,29/06/2021,Tiergarten,Elisabeth-Abegg-Straße 1,10557 ,party,,19:00,22:00,,
Frankies Party-Night   (Welcome Number 9),,Landhaus Hubertus,"Frankie`` s`  Party-Night  Zu diesem Event          								          									                    	Zum neunten Mal rockt es im Norden Berlins, wenn des Nord-Berliner Kult Dj Frankie b. die größten Party-Tracks im perfekten Mix serviert. Tanze zu den Hits der 80er/90er Jahre, sowie zu aktueller Chart-Music. Alle Hits die für eine ausgelassene Stimmung sorgen, kommen auf den Teller. Wir feiern im Landhaus Hubertus, welches unseren Besuchern bereits bestens von ""Die Weiße Partynacht"" und unserer Open Air Sause am Vatertag (Himmelfahrt)  bestens bekannt sein dürfte. Frankies Party-Night, in Berlin ganz oben, in Berlin-Frohnau.http://www.showagenten.de http://www.dj-frankie-b.de",,23/10/2021,24/10/2021,Frohnau,Invalidensiedlung 46,13465 ,party,,20:00,01:00,,
Sunglasses @ Night - 80er Jahre Party in Zeuthen - 18.09.2021,,Mehrzweckhalle Zeuthen,"wir feiern mit Euch die beste 80er Jahre Party in Zeuthen und Umgebung.  Zum 3. mal werden wir in Zeuthen feiern!  Zu diesem Event          								          									                    	Nun auch endlich wieder Sunglasses @ Night in Zeuthen - die 80er Party- Endlich. Die legendäre Sunglasses @ Night – 80er Jahre Party Reihe wird auch in Zeuthen starten. Am 20.03.2021 wird die Mehrzweckhalle mit den besten Songs der 80er Jahre zum Beben gebracht. DJ NC Chris wird den tanzwütigen 80er Jahre Fans ordentlich einheizen.  Tickets gibt es an allen bekannten Touristinfo in der Region und auch online bei eventbrite (https://www.eventbrite.de/o/v-event-gmbh-4595191743) Das wird gut, das fetzt ein! Kommt also alle, dann ist woanders mehr Platz!",,18/09/2021,19/09/2021,Other,Schulstraße 4,15738 Zeuthen,party,,20:00,03:00,,
X-MAS-Sunglasses @ Night - 80er Jahre Party in Zeuthen - 04.12.2021,,Mehrzweckhalle Zeuthen,"wir feiern mit Euch WEIHNACHTLICH die beste 80er Jahre Party in Zeuthen und Umgebung.  Zum 4. mal werden wir in Zeuthen feiern!  Zu diesem Event          								          									                    	Nun auch endlich wieder Sunglasses @ Night in Zeuthen - die 80er Party- Die Weihnachtsausgabe! Endlich. Die legendäre Sunglasses @ Night – 80er Jahre Party Reihe wird auch in Zeuthen starten. Am 20.03.2021 wird die Mehrzweckhalle mit den besten Songs der 80er Jahre zum Beben gebracht. DJ NC Chris wird den tanzwütigen 80er Jahre Fans ordentlich einheizen.  Tickets gibt es an allen bekannten Touristinfo in der Region und auch online bei eventbrite (https://www.eventbrite.de/o/v-event-gmbh-4595191743) Das wird gut, das fetzt ein! Kommt also alle, dann ist woanders mehr Platz!",,04/12/2021,05/12/2021,Other,Schulstraße 4,15738 Zeuthen,party,,20:00,03:00,,
X-MAS - Sunglasses @ Night - 80er Jahre Party in Velten - 18.12.2021,,Ofen Stadt Halle,"wir feiern mit Euch die beste 80er Jahre Party in Velten und der Umgebung.  Zu diesem Event          								          									                    	Nun auch endlich wieder Sunglasses @ Night in Velten - die 80er Party- als Weihnachtsausgabe - Endlich. Die legendäre Sunglasses @ Night – 80er Jahre Party Reihe wird auch in Velten starten. Am 30.10.2021 wird die Ofen Stadt Halle mit den besten Songs der 80er Jahre zum Beben gebracht. DJ NC Chris wird den tanzwütigen 80er Jahre Fans ordentlich einheizen.  Tickets gibt es an allen bekannten Touristinfo in der Region und auch online bei eventbrite (https://www.eventbrite.de/o/v-event-gmbh-4595191743)Das wird gut, das fetzt ein! Kommt also alle, dann ist woanders mehr Platz!",,18/12/2021,19/12/2021,Other,Katersteig 3,16727 Velten,party,,20:00,04:00,,
Halli-Galli-Party in Grünheide - OPEN AIR,,Festwiese Grünheide,"Einlass 19.oo Uhr, Start 20.00 Uhr.  DJ NC CHRIS.  DIE PARTY KANN STEIGEN!  Zu diesem Event          								          									                    	Halli Galli Party auf Tour in Grünheide Endlich wieder richtig feiern. Am 28.08.2021 stoppt die legendäre „Halli Galli Party“ on Tour in Grünheide auf der Festwiese - OPEN AIR. Ab 20.oo Uhr legt DJ NC Chris die besten und unvergesslichsten Songs der Gegenwart und Vergangenheit auf. Da ist gute Stimmung garantiert und die Tanzfläche wird proppenvoll. Tickets gibt es an den VVK Stellen (7 EUR zzgl. lokale Gebühren) in der Region, online /(http://potential-allstars.eventbrite.de?s=125451605) und an der Abendkasse (10 EUR). Das wird gut, das fetzt ein! Kommt also alle, dann ist woanders mehr Platz!",,28/08/2021,29/08/2021,Other,An der Alten Schule,Festwiese Grünheide,party,,19:00,01:30,,
BERLIN BREWS CRUISE – Kick-Off Party der Berlin Beer Week 2022,,Reederei Riedel,"BERLIN BREWS CRUISE – Kick-Off Party der Berlin Beer Week 2022  Zu diesem Event          								          									                    	(English below)Zum nun 6. Mal in Folge wird ein Spreedampfer zur Eröffnung der 7. Berlin Beer Week mit über 40 Bieren aus über 40 lokalen, nationalen und internationalen Brauereien bestückt, von denen ihr so viele und so oft probieren könnt, wie es euch beliebt! Genießt die beeindruckende Szenerie unserer Stadt während der drei Stunden langen Spreeschifffahrt durch Berlin. Nach der erfolgreichen Zusammenarbeit mit der Reederei Riedel in 2018 & 2019 arbeiten wir auch zum 5. Geburtstag der Brews Cruise wieder zusammen und heißen euch auf der majestätischen Spree-Comtess willkommen. Zum 6. Geburtstag von Deutschlands bekanntester Craft-Bier Dampferfahrt haben wir uns dazu entschlossen, einen der wohl vermutlich einzigen Knackpunkte eurerseits an der Cruise zu adressieren und werden den Füllstrich der Gläser um mindestens 50% auf 0.15l, eventuell sogar auf 0.20l ändern, sodass ihr nicht mehr ganz so oft vom schönen Oberdeck nach unten laufen müsst um euer Glas nachzufüllen. Wir sind gerade dabei unseren Brauereiwunschzettel mit Namen zu füllen und werden euchschon bald mehr davon bekanntgeben. Ihr könnt euch wie schon in den Jahren zuvor sicher sein, dass die Auswahl der Biere an Bord erstklassig sein wird und eine große Auswahl Berliner Brauereien beinhalten wird, gepaart mit aufstrebenden deutschen und natürlich internationalen Brauereien. Schaut einfach immer mal wieder auf unsere Facebookseite und in dieses Event für Updates.Ab 18:30 Uhr wird das Schiff mit Bierbegeisterten gefüllt. Zu 19:00 Uhr lichten wir den Anker und gleiten entspannt durch die sommerliche Hauptstadt, während das Bier in kühlenden Strömen fließt und unsere Eindrücke begleitet. Die genaue Ablegestelle wird in den nächsten Monaten nochmal bestätigt.Mineralwasser (mit/ohne Kohlensäure) ist im Ticketpreis enthalten. Snacks vom schiffseigenen Grill für den Hunger zwischendurch sowie andere alkoholische und nichtalkoholische Getränke, Kaffee usw. können zu den Preisen der Bordmenükarte der Reederei Riedel individuell erworben werden.Zu 22:00 Uhr gehen wir an einem zentralen Ort in Berlin vor Anker und laden euch zur offiziellen Afterparty ein. Die Details hierzu folgen sobald diese feststehen hier in der Eventbeschreibung und den sozialen Medien.Ticketpreis:  75 € pro Person + Transaktionsgebühren (beinhaltet 3 Stunden Spreedampferfahrt, Bier, soviel Du probieren möchtest [min. 0.15l], Mineralwasser [mit/ohne], Verkostungsglas der Berlin Beer Week 2021 und Zutritt zur Afterparty inkl. eines Freibiers) Zutritt nur bei Volljährigkeit, keine weiteren Ermäßigungen, keine Abendkasse.(English)Believe it or not, it’s already the 6th Berlin Brews Cruise, the official opening event of Berlin Beer Week #7, and we would hereby like to invite you! Join us for an open glass (all-you-can-drink) floating beer festival on the city’s waterways, featuring over 40 beers from more than 40 local and international breweries and amazing views during a three-hour cruise on the Spree river through the heart of Berlin!After our seamless cooperation in 2018 & 2019, we are teaming up again with Reederei Riedel and will be welcoming you aboard their beautiful Spree-Comtess. For the 6th birthday of Germany’s most known craft beer cruise, we decided to address the only complaint many of you had with the previous cruises - we are increasing the pouring limit by at least 50% to 0.15l (and maybe even to 0.2l!) so you don’t have to leave the beautiful upper deck too often to refill your glasses.We are currently filling up our brewery wishlist and should be ready to announce the first names soon. The cruise will feature a wide array of Berlin-based breweries, up and coming German breweries, and names of international acclaim. Keep checking our Facebook page and this event listing for updates.Boarding begins at 6:30 pm and finishes at 7 pm sharp. The exact boarding location will be confirmed in the coming months. The craft beer will flow as you float down the Spree on a three-hour voyage of sun and suds, soaking up the summer weather and stellar views.Bottled water is included in the ticket price. Food, such as a nice steak from the BBQ, and other alcoholic and non-alcoholic beverages are available for individual purchase from the onboard menu of Reederei Riedel.At 10 p.m. the boat will dock and passengers will disembark in a central location, where we invite you to continue the celebration with us at the official after party! Details to follow soon.Ticket price: 75 € per person+ transaction fee , which includes a 3-hour Spree cruise, all-you-can-drink beers from all breweries, drinking water, and official Berlin Beer Week 2021 commemorative glass as well as a complimentary first beer at the official afterparty.Must be of legal age to purchase a ticket and to attend; no other discounts apply, no tickets at the door.",http://www.berlinbeerweek.com/,02/09/2022,02/09/2022,Other,Märkisches Ufer / Corner Am Köllnischen Park,"GPS: 52.5144, 13.41539",party,,19:00,23:00,,
"GIN-TASTING ""So schmeckt die Hauptstadt""",,HENRI Hotel Berlin,"Gin-Tasting mit Gin aus Berlin und seinem Umland  Zu diesem Event          								          									                    	Das Henri in Charlottenburg, unmittelbar am mondänen Kurfürstendamm, ist kein Hotel, sondern ein Lifestyle. Wir sitzen im blauen Salon dieses wunderschönen Hauses aus der Gründerzeit und genießen die facettenreichen Aromen von Gin aus Berlin und seiner Umgebung.Das Tasting beinhaltet:- einen Aperitif,-Pre-Tasting zur Erläuterung von drei typischen  Gin-Arten  inkl. eines  G&T mit dem Lieblingsgin (2 cl)- sechs Berliner Gins  á 2 cl,- diverse Tonics und Botanicals,- Mineralwasser und ausreichend Brot zum Neutralisieren,- natürlich ganz viel Wissen zu dem Thema Gin- und wer Lust hat, kann abschließend anhand eines Fragebogens testen, ob ich dieses Wissen gut vermittelt habe Selbstverständlich werden bei allen Veranstaltungen die zu dem Zeitpunkt für die Gastronomie geltenden  Sicherheitsstandards zur Vermeidung der Verbreitung von Covit19 eingehalten.",,16/04/2021,16/04/2021,Charlottenburg,Meinickestr. 9,10719 ,party,,19:00,21:00,,
You'll Have Had Your Jags?,,KAOS Berlin,"A combo Ceilidh with Scottish Country Dancing and all night dance to fresh'n'funky dance music at Berlin's most rad venue  About this Event          								          									                    	The date is as yet unknown - we all need to get our jags first.",,01/05/2021,02/05/2021,Köpenick,Wilhelminenhofstraße 92,12459 ,party,,19:00,22:00,,
Lange Nacht der Hotelbars Berlin - JUNI 2021,,Berlin,"Samstag, 05. Juni 2021 ab 20 Uhr- die lange Nacht der Hotelbars Berlin: Erleben Sie Berlins beste Häuser bei Nacht!  Zu diesem Event          								          									                    	❗️Die Tickets von dem 28.03. behalten ihre GÜLTIGKEIT ❗️Samstag, 05. Juni 2021 ab 20 Uhr- die lange Nacht der Hotelbars Berlin: Erleben Sie Berlins beste Häuser bei Nacht!In den großen Weltmetropolen, wie New York, London, Mailand oder Paris gehören die Bars der großen Hotels schon seit jeher zu den Hot-Spots von trendigen Nachtschwärmern und Menschen, die gerne stilvoll ausgehen.Berlin steht den großen Metropolen in nichts nach: Die traditionsreichen Häuser der Spreemetropole mit ihren geschmackvollen Bars und dem edlen Ambiente sind ein beliebter Treffpunkt für Nachtschwärmer jeder Art und jeden Alters.Tauchen Sie heute in die exklusive Welt der Hotelbars ein. Bei der langen Nacht der Hotelbars am Samstag, 05. Juni 2021 ab 20 Uhr in Berlin genießen Sie in insgesamt 11 ausgesuchten Locations ein attraktives Unterhaltungsprogramm, köstliche Drinks von den besten Barchefs der Stadt und zahlreiche Aktionen. Der eigens eingerichtete Shuttle-Service verbindet die Locations. Es erwartet Sie ein toller Abend mit vielen Überraschungen.Es freuen sich die folgenden Häuser auf Sie: Grand Hyatt Berlin Hilton Bristol Berlin Westin Grand Ellington Hotel  Pullman Berlin Schweizerhof  Hotel Rocco Forte Hotel Palace Berlin  Sheraton Berlin  Titanic Gendarmenmarkt Berlin  Capri by Fraser Berlin Die Tickets kosten 19 € (zzgl. VVK Gebühren). Um einen reibungslosen Ablauf des Events zu garantieren, entscheiden Sie sich beim Ticketkauf für die Location, in welcher Sie um 20 Uhr Ihre Tour beginnen möchten. Danach können Sie ihre nächsten Hotelbars frei wählen.Im Ticket enthalten sind:Teilnahme und Eintritt in alle Hotelbars1 Getränk in der ersten LocationNutzung der ShuttlebusseUnterhaltungsprogramm in jeder Hotelbar mit DJs und Live-Künstlern",,05/06/2021,06/06/2021,Other,berlin,Berlin,party,,20:00,01:00,,
Pirschheidi - Die Frank Heck & Torsten Kuhn Show -,,Kutschstall,"!!!WEGEN COVID-19 VERSCHOBEN!!!           DIE Schlagerparty in Potsdam : Pirschheidi - Die Frank Heck & Torsten Kuhn Show - Wir leben den Schlager!  Zu diesem Event          								          									                    	Liebe Pirschheidi-Fans,nun ist er da - der Virus. Und er macht auch vor unseren Veranstaltungen nicht Halt. Die Meinungen im Team sind gespalten. Letztendlich sind wir jedoch Partymacher und keine Ärzte oder Politiker. Deswegen fügen wir uns derer Weisungen und Empfehlungen. Am Ende zählen die Gesundheit und das Wohlbefinden von uns allen. Wir würden es uns niemals verzeihen können, wenn sich nach einer Pirschheidi herausstellt, dass durch ihre Absage eine schwere Erkrankung oder gar ein Todesfall hätten verhindert werden können. Und das ist der Grund, warum wir einige unserer Parties bis auf Weiteres aussetzen. Das betrifft vor allem die Veranstaltungen am 11.4. in Potsdam und die Veranstaltung am 8.5. in Berlin-Kladow. Diese Pirschheidis finden an diesen Terminen nicht statt. Die teilnehmenden Künstler wurden informiert und bedauern es ebenfalls sehr, euch an diesen Tagen nicht begegnen zu können.Aber die bereits gekauften Karten behalten ihre Gültigkeit. Die Termine der Ersatzveranstaltungen werden rechtzeitig vorher bekanntgegeben.Wir wissen, dass diese Entscheidung den Unmut vieler hervorrufen wird. Vor allem Fans, die aus der Ferne anreisen, dürften nicht gerade begeistert sein. Das tut uns wahnsinnig leid. Aber wie bereits erwähnt, zählen hier andere Werte. Die Gesundheit der Gemeinschaft geht eindeutig vor und steht nun mal unbestreitbar über dem schnöden Mammon.Fühlt euch virtuell umarmt und haltet zusammen. Wir werden auch wieder sonnigere Zeiten erleben, nachdem dieses Tal der Tränen durchschritten wurde. Diese Zeiten sehnen wir herbei. Bis dahin achtet auf euch und eure Lieben.Frank, Torsten, Klaus & Katy-- Ursprünglicher Veranstaltungstext:Am 11. April ist es wieder soweit – die „Pirschheidi"" Schlagershow aus Potsdam geht in die nächste Runde.Und das in einer traumhaft schönen Location, dem Kutschstall Ensemble im Herzen von Potsdam. Sichert euch eure Tickets für die Schlager-Party auf eventbrite.de oder  direkt vor Ort, bevor wir wieder ausverkauft sind! Die Frank Heck & Torsten Kuhn Show - geboren in Potsdam - das Original!Einfach nur Schlagerparty war gestern. Wir leben den Schlager!Feiert eine Nacht lang den Schlager mit den Musikern und Schlager-DJs Frank Heck und Torsten Kuhn in der Eventlocation Kutschstall.https://www.kutschstall.deOb die Klassiker aus den 70ern und 80ern, die Neuauflagen aus den 90ern oder die Schlagerbeats der 2000er - wir lieben und leben sie.Dieses Mal unterstützen zwei beliebte Live-Acts das Pirschheidi-Team. Sophia VenusDa ist einerseits die von einigen Auftritten bei der Pirschheidi bereits bekannte Sophia Venus. Sie wird nicht mehr als Newcomerin bezeichnet, sondern ist als Durchstarterin der Saison anerkannt. Sie überzeugte in mehreren TV-Auftritten und unzähligen Bühnenshows. Sophia Venus - wenn Schlager glücklich macht!                               	                              	Mehr unter https://fiavenus.cabanova.com/Zeit-FlugDes Weiteren werden die Jungs von Zeit-Flug mit von der Partie sein. Zeit ist kein Maßstab für das, was man erlebt, wenn diese Jungs die Bühne betreten. Sie konnten bereits bei zahlreichen Konzerten ihr Publikum begeistern. Ihre Lust auf modernen, tanzbaren Schlager konnten Sie im Fernsehen schon bei ‘Schlager des Sommers’ mit Florian Silbereisen, der RTL-Show ‘Take me out’ oder ‘Sonnenklar TV’ unter Beweis stellen. Ihre Single ‘Karussell’ konnte sich bereits in den iTunes Schlager Charts platzieren und befindet sich sogar auf dem Nr. 1 Sampler ‘Schlager-Club 2019’. Auf der Bühne bilden die drei ein mitreißendes Gesamtkonzept, das Alt und Jung in gute Laune versetzt. Alle Drei können als Solo-Künstler bereits auf beeindruckende Erfolge zurückblicken (Martin ‘X-Factor’ Halbfinale, Deniz Finale ‘Schlager Trophy’ und Darsteller in diversen Musicalproduktionen, Ruben Background bei ‘One Direction’ und David Garrett) und dennoch sind die Drei zusammen eine Einheit, die große Gefühle und ausgelassene Partystimmung transportiert.                              	                              	                              	Mehr unter https://zeit-flug.netUnd natürlich wieder mit dabei: der einzigartige Klaus Carpendale!Kleines aber feines Geheimnis jeder Pirschheidi sind die vielen Aktionen, mit denen wir unser Publikum beglücken. So werden auch am 11.04.2020 in Potsdam die zartschmelzende Eisparade, der beschwipste Rotweintraum und das knackige Wurstglück am Start sein. Es werden massenhaft Luftgeschenke verteilt und beim Flamingoweitwurf rosarote Federn gelassen.Alles in allem erlebt ihr mit uns ein energiegeladenes Schlager-Event der Extraklasse, welches wir nach unserer großen Pirschheidi - Gala vom 09.11.2019 mit euch fortsetzen.Einlass ab 18 UhrMinderjährige mit Muttizettel (https://www.muttizettel.net) und in Begleitung einer erwachsenen Aufsichtsperson.Unterstützt durch die REDO UnternehmensgruppeInfos und Tickets unter https://www.pirschheidi.com/ticketsPirschheidi - Stilvoller und mitreißender Schlagergenuss - 💃💖🕺",,10/04/2021,11/04/2021,Other,Am Neuen Markt 9A,14467 Potsdam,party,,19:00,01:00,,
Ladies Fashion Night - Das Jubiläum,,Orangerieschloss,"Ladies Fashion Night - Das Jubiläum 2021  Zu diesem Event          								          									                    	DAS Event des Jahres ""Die 10.- Ladies Fashion Night"" steht in den Startlöchern! Sie ist nicht nur für alle Ladies, Modeinteressierte, Highheelliebhaber/-innen und Schöngeister, nicht nur für Potsdam in Potsdam, sondern für ganz Deutschland.Die ""10.-Ladies Fashion Night"" zeigt am 11. 09.2021 erstmalig in historischer Kulisse, im Orangerieschloss Potsdam, dem UNESCO Weltkulturerbe, wie wunderschön es ist, eine Frau von Welt zu sein.Das Motto ""venezianische Nacht"" wird begleitet und aufgenommen von riesigen Fashion Shows, ausgefallenen Special Acts, dem größten  Shoppingbereich der Nacht und EUCH, dem tollsten Publikum der Welt.Einlass zu 18:00 in elegantem Dresscode mit Maske, unserem ""venezianischem Motto"" entsprechend.Sichert euch die Tickets de rlegendären Ladies Fashion Night.Das wird EUER Abend!Weitere Informationen folgen demnächst auf www.ladiesfashionnight.de und auf Facebook - Ladies Fashion Night",,11/09/2021,12/09/2021,Other,An der Orangerie 3-5,14469 Potsdam,party,,18:00,02:00,,
