Title,Event,Artist,Event__location,Description,URL,Event__start,Event__end,District,Address,PLZ,Category,Tag,,,
Samson Young,,Samson Young,Capitain Petzel,"In the heart of artist and composer, Samson Young's (b. 1979 in Hong Kong) artistic practice are multicultural paradigms weaved into a symphony of image and sound. Young typically channels his attunement to music by pushing its formalist boundaries to create innovative cross-media experiences which address the topics of identity, war, and literature. In his first presentation at the gallery, Young deals with the actual physicality of a specific technological process. In 3D printing, a support structure helps to ensure the printability of a part, making the exhibited Support Structures a pertinent reference to the so-called age of progress we find ourselves in. The focus of Young’s exhibition lies in the praise of the very components of 3D printing technology, as he shifts from the notion of a structural necessity to a newly created reality.",http://www.capitainpetzel.de/,28/04/2021,19/07/2021,Mitte, Karl-Marx-Allee 45,10178,exhibition,,,,
Five Walls,Five Walls,Matt Mullican,Capitain Petzel,"In Matt Mullican's (b. 1951 in Santa Monica, CA) second solo exhibition at the gallery, the artist continues his investigation of how signifying processes function and the ways in which objects become charged with meaning. This decades-long exploration across various media such as painting, film, sculpture, photography as well as perfomance art, has led him to establish his own subjective 5-part classification system, which he calls his “theory of the five worlds”, picked up again by this exhibition in which the main space of the gallery is divided into five walls, relating to his world system, and carrying works and processes from the last 50 years, as well as new works made for the occassion, ranging from rubbings to tapestries, from ceramics to flags, posters and more.",http://www.capitainpetzel.de/,28/04/2021,19/07/2021,Mitte, Karl-Marx-Allee 45,10178,exhibition,,,,
Kochgeschirr (Adapted for Use),Kochgeschirr (Adapted for Use),Christopher Williams,Capitain Petzel,"Christopher Williams’ (b. 1956 in Los Angeles, CA) exhibition in the lower exhibition space of the gallery brings together several threads of work that the artist has developed over the years, reflecting his preoccupation with the static, material, and physical, as an antithesis to the information-saturated and virtual age recently accelerated by the pandemic. Williams’ practice, which has continually investigated the methods of production and contexts of display of images and objects, has always extended beyond art objects to their construction and presentation, often foregrounding the “secondary materials” of exhibitions and artworks, such as publications and promotional material. This exhibition, in the absence of his photographic works, foregrounds printed matter, archival material, and film.",http://www.capitainpetzel.de/,28/04/2021,17/07/2021,Mitte, Karl-Marx-Allee 45,10178,exhibition,,,,
The Displacement Effect,The Displacement Effect,"Ketuta Alexi-Meskhishvili, 																		Tolia Astakhishvili and James Richards, 																		Gae  Aulenti, 																		Renata  Bonfanti, 																		Andrea Büttner, 																		Xinyi  Cheng, 																		Sofie  Dawo, 																		Liliana  Grassi, 																		Vera Palme, 																		Reni  Shulman Trüdinger, 																		Nanda Vigo",Capitain Petzel,"The Displacement Effect is an exhibition that responds to the temporal and spatial displacements which we have been subject to over the last fourteen strange and dislocated months. It grasps for evidence of activities that have been going on regardless and for materials or remnants that wash in on enduring currents of thought and possibility. Adopting a responsive, additive process rather than a strictly thematic or scholarly approach, it stages a temporary constellation of artworks and objects within Capitain Petzel’s airy vitrine-like gallery. An open-ended discursive encounter.",http://www.capitainpetzel.de/,26/06/2021,14/08/2021,Mitte, Karl-Marx-Allee 45,10178,exhibition,,,,
Surging,Surging,Tarik Kiswanson,Carlier | Gebauer,,http://www.carliergebauer.com/,30/04/2021,26/06/2021,Kreuzberg, Markgrafenstr. 67,10969,exhibition,,,,
Mies In Mind,Mies In Mind,,Carlier | Gebauer,,http://www.carliergebauer.com/,20/08/2021,22/08/2021,Kreuzberg, Markgrafenstr. 67,10969,exhibition,,,,
Soft Spot,Soft Spot,Emily  Wardill,Carlier | Gebauer,,http://www.carliergebauer.com/,22/05/2021,26/06/2021,Kreuzberg, Markgrafenstr. 67,10969,exhibition,,,,
The Youngest Day,The Youngest Day,"Nancy  Buchanan, 																		Jedediah  Caesar, 																		Fiona  Connor, 																		Thomas Demand, 																		Fred  Eversley, 																		Morgan  Fisher, 																		Aaron  Fowler, 																		Nikita  Gale, 																		Piero  Golia, 																		Alexandra  Grant, 																		Mathew  Hale, 																		Margaret  Honda, 																		Luchita  Hurtado, 																		Joey Kötting, 																		Sharon Lockhart, 																		Eamon  Ore-Giron, 																		Laura  Owens, 																		Glen  Rubsamen, 																		Ed Ruscha, 																		Betye Saar, 																		Asha Schechter, 																		Rosha  Yaghmai",Carlier | Gebauer,,http://www.carliergebauer.com/,09/07/2021,08/09/2021,Kreuzberg, Markgrafenstr. 67,10969,exhibition,,,,
Yorgos Stamkopoulos,,Yorgos Stamkopoulos,ChertLüdde,,http://www.chertluedde.com/,30/04/2021,26/06/2021,Kreuzberg, Ritterstrasse 2A,10969,exhibition,,,,
Here (Air Carries Poison But Yet We Breathe),Here (Air Carries Poison But Yet We Breathe),Doruntina  Kastrati,ChertLüdde,,http://www.chertluedde.com/,29/04/2021,26/06/2021,Kreuzberg, Ritterstrasse 2A,10969,exhibition,,,,
"My refuge, my treasure, without body, without measure.","My refuge, my treasure, without body, without measure.",Agnes Scherer,ChertLüdde,,http://www.chertluedde.com/,29/04/2021,26/06/2021,Kreuzberg, Ritterstrasse 2A,10969,exhibition,,,,
I know a type of sadness that smells of pineapple,I know a type of sadness that smells of pineapple,Heike Kabisch,ChertLüdde,,http://www.chertluedde.com/,10/07/2021,28/08/2021,Kreuzberg, Ritterstrasse 2A,10969,exhibition,,,,
Mies In Mind,Mies In Mind,,ChertLüdde,,http://www.chertluedde.com/,20/08/2021,22/08/2021,Kreuzberg, Ritterstrasse 2A,10969,exhibition,,,,
Amadou  Seck,,Amadou  Seck,ChertLüdde,,http://www.chertluedde.com/,02/06/2021,03/07/2021,Kreuzberg, Ritterstrasse 2A,10969,exhibition,,,,
Our Sorrows will turn into Actions,Our Sorrows will turn into Actions,Arijit  Bhattacharyya,ChertLüdde,,http://www.chertluedde.com/,08/08/2021,04/09/2021,Kreuzberg, Ritterstrasse 2A,10969,exhibition,,,,
"SKIES OF INTENSE, UNCONTAMINATED BEAUTY","SKIES OF INTENSE, UNCONTAMINATED BEAUTY",Isabell Heimerdinger,Mehdi Chouakri,,http://www.mehdi-chouakri.com/,12/06/2021,28/08/2021,Charlottenburg, Fasanenplatz / Fasanenstrasse 61,10719,exhibition,,,,
Mies In Mind,Mies In Mind,,Mehdi Chouakri,,http://www.mehdi-chouakri.com/,20/08/2021,22/08/2021,Charlottenburg, Fasanenplatz / Fasanenstrasse 61,10719,exhibition,,,,
HENRY MOORE SECTION TABLES,HENRY MOORE SECTION TABLES,Jonathan Monk,Mehdi Chouakri,,http://www.mehdi-chouakri.com/,12/06/2021,28/08/2021,Charlottenburg," Bleibtreustraße 41, (Eingang über Mommsenstraße 4)",10623,exhibition,,,,
Mies In Mind,Mies In Mind,,Contemporary Fine Arts,,http://www.cfa-berlin.com/,20/08/2021,22/08/2021,Charlottenburg, Grolmanstrasse 32/33,10623,exhibition,,,,
Neue Sachlichkeit,Neue Sachlichkeit,"Jagoda  Bednarsky, 																		Genesis  Belanger, 																		Ellen  Berkenblit, 																		Francesca  Facciola, 																		Tanya  Merrill, 																		Sophie Reinhold, 																		Dana Schutz, 																		Katja  Seib, 																		Emily Mae Smith",Contemporary Fine Arts,,http://www.cfa-berlin.com/,10/06/2021,17/07/2021,Charlottenburg, Grolmanstrasse 32/33,10623,exhibition,,,,
Journée d'un G.I.,Journée d'un G.I.,Ulrike Ottinger,Contemporary Fine Arts,,http://www.cfa-berlin.com/,22/07/2021,28/08/2021,Charlottenburg, Grolmanstrasse 32/33,10623,exhibition,,,,
The Ecstatic Static,The Ecstatic Static,Robert Muntean,Crone Berlin,,http://www.galeriecrone.com/,25/06/2021,21/08/2021,Charlottenburg, Fasanenstr. 29,10719,exhibition,,,,
Donald Baechler,,Donald Baechler,Crone Berlin,,http://www.galeriecrone.com/,27/08/2021,23/10/2021,Charlottenburg, Fasanenstr. 29,10719,exhibition,,,,
Elephant’s Breath,Elephant’s Breath,Thomas Florschuetz,DIEHL,,http://www.galerievolkerdiehl.com/,29/05/2021,28/07/2021,Charlottenburg, Niebuhrstrasse 2,10629,exhibition,,,,
Mies In Mind,Mies In Mind,,DITTRICH & SCHLECHTRIEM,,http://www.dittrich-schlechtriem.com/,20/08/2021,22/08/2021,Mitte, Linienstrasse 23,10178,exhibition,,,,
MILO,MILO,Thomas Liu Le Lann,DITTRICH & SCHLECHTRIEM,,http://www.dittrich-schlechtriem.com/,29/04/2021,27/06/2021,Mitte, Linienstrasse 23,10178,exhibition,,,,
SPACERS,SPACERS,Simon Mullan,DITTRICH & SCHLECHTRIEM,"DITTRICH & SCHLECHTRIEM is pleased to announce our third solo show in Berlin of Simon Mullan, featuring a sculptural environment in the main gallery. Titled SPACERS, the exhibition consists of a construction of fifty-eight wall-mounted hand-carved stone crosses, specifically sized and spaced on the four walls of the room. The grids and the negative spaces they define are an enlarged representation of standard-issue bathroom tiles. The stone reliefs hover over a deep blue wall-to-wall carpet, a reference to a 90s industrial trade fair setting as a symbolic space of economic opportunity. Additional sculptural and video works in the show highlight the labor history of the artist’s current studio on the premises of the former Baustoffe Stolpe GmbH.",http://www.dittrich-schlechtriem.com/,05/07/2021,28/08/2021,Mitte, Linienstrasse 23,10178,exhibition,,,,
W A K E,W A K E,Heiner Franzen,Ebensperger,"Chest. Head. Arms. Nature. Man. Man. First leg. Second leg: in Heiner Franzen’s video installation W A K E, a matter-of-fact inventory of human anatomy in single words is uttered by a 3D-modelled head in seven projections.",http://www.ebensperger.net/,30/04/2021,22/08/2021,Wedding," Krematorium Wedding, Plantagenstraße 30 (across no.10)",13347,exhibition,,,,
Mies In Mind,Mies In Mind,,Ebensperger,,http://www.ebensperger.net/,20/08/2021,22/08/2021,Wedding," Krematorium Wedding, Plantagenstraße 30 (across no.10)",13347,exhibition,,,,
Mies In Mind,Mies In Mind,,Efremidis,,http://www.efremidisgallery.com/,20/08/2021,22/08/2021,Charlottenburg, Ernst-Reuter-Platz 2,10587,exhibition,,,,
Beautiful and Damned,Beautiful and Damned,Mitchell  Anderson,Efremidis,,http://www.efremidisgallery.com/,26/06/2021,22/08/2021,Charlottenburg, Ernst-Reuter-Platz 2,10587,exhibition,,,,
Schmale Anzeige,Schmale Anzeige,[erp] Willem  Oorebeek,Efremidis,"In his new exhibition at Efremidis, Willem Oorebeek covers the windows of the gallery with the oversized lettering “Free China From Tibet” in a Gothic typeface. The inversion of the popular slogan (“Free Tibet”) demands liberation for the People’s Republic of China and raises the question of what this freedom would mean for the Central State.",http://www.efremidisgallery.com/,19/06/2021,22/08/2021,Charlottenburg, Ernst-Reuter-Platz 2,10587,exhibition,,,,
Butcher Block,Butcher Block,Mathis Altmann,Efremidis,"In his new exhibition Butcher Block, Mathis Altmann (*1987, Munich) witnesses the millennial moment and its ongoing collapse between work and leisure. In the grip of a burgeoning meritocracy, his generation’s drive to improve peaks in a perpetual need for self-glorification. Both satirical and introspective, Butcher Block shakes up the co-dependency of contemporary narratives like community, labor, technology and capital. In this Ballardian slapstick comedy, success and failure are superimposed.",http://www.efremidisgallery.com/,01/05/2021,20/06/2021,Charlottenburg, Ernst-Reuter-Platz 2,10587,exhibition,,,,
ENCORE!,ENCORE!,"Birgit Brenner, 																		Raul Walch, 																		Maja  Behrmann",Galerie EIGEN + ART Berlin,,http://www.eigen-art.com/,10/06/2021,07/08/2021,Mitte, Auguststr. 26,10117,exhibition,,,,
Mies In Mind,Mies In Mind,,Galerie EIGEN + ART Berlin,,http://www.eigen-art.com/,20/08/2021,22/08/2021,Mitte, Auguststr. 26,10117,exhibition,,,,
Performances,Performances,"Selin  Wutzler, 																		Felix Leon Westner, 																		Lena  Großmann, 																		Nazanin  Noori",EIGEN + ART Lab,"Selin Wutzler

11.6. - 20.6.2021

 

Felix Leon Westner

25.6. - 10.7.

 

Lena Grossmann

16.7. - 24.7.

 

Nazanin Noori

30.7. - 14.8.",http://www.eigen-art-lab.com/,11/06/2021,14/08/2021,Mitte, Torstraße 220,10115,exhibition,,,,
Slow Fresh Fount,Slow Fresh Fount,Susan  Philipsz,Konrad Fischer Galerie,,http://www.konradfischergalerie.de/,01/05/2021,22/08/2021,Mitte, Neue Grünstrasse 12,10179,exhibition,,,,
Mies In Mind,Mies In Mind,,Konrad Fischer Galerie,,http://www.konradfischergalerie.de/,20/08/2021,22/08/2021,Mitte, Neue Grünstrasse 12,10179,exhibition,,,,
Diverse Enigmas,Diverse Enigmas,Brian  O’Doherty,Galerie Thomas Fischer c/o ANDREAS MURKUDIS,"„It’s a running joke with my dear friend, the nonagenarian artist-slash-everything, Brian O’Doherty: I tease him for being a ‚dirty conceptualist‘. This turn of phrase suggests a specific breed of aesthetic impurity. You see, by some accounts, the first generation of conceptual artists in New York were focused primarily on the idea of art made by thinking alone (hence their moniker). Yet, amongst that particular clique—whom O’Doherty exhibited with and even helped corral, most notably by editing and designing the milestone 1967 issue 5+6 of Aspen magazine on minimal and conceptual art—he stood out in multiple ways. For one, the polymathic O’Doherty’s work held the body and all its five senses dearly, in contrast to the coolly rational artistic currents of the 1960s. This insistence on the primacy of the embodied, holistic, and subjective aesthetic experience marks his works as different from other colleagues of that period, as well as signalling its continued relevance today.“

 — Prem Krishnamurthy, Berlin, May 2021",http://www.galeriethomasfischer.de/,19/06/2021,17/07/2021,Kreuzberg, Potsdamer Straße 77,10785,exhibition,,,,
Strong and Tough,Strong and Tough,Bradley  Kronz,Lars Friedrich,,http://www.larsfriedrich.net/,19/06/2021,31/07/2021,Charlottenburg, Kantstrasse 154 A,10623,exhibition,,,,
Mies In Mind,Mies In Mind,,Galerie Friese,,http://www.galeriefriese.de/,20/08/2021,22/08/2021,Charlottenburg,  Meierottostraße 1,10719,exhibition,,,,
Inner,Inner,Claire  de Santa Coloma,Galerie Friese,"We are very pleased to present our first solo show of Argentinian artist Claire de Santa Coloma (*1983) on the occasion of Gallery Weekend 2021. Her exhibition “Inner” was conceived over the course of the last year at her new home in Sydney, which temporarily replaced her longtime studio in Lisbon. For her exhibition at Galerie Friese, the sculptor, who primarily works in wood, has come up with a new body of work of sculptures and works on paper, which are complemented by pieces from recent years.",http://www.galeriefriese.de/,30/04/2021,27/06/2021,Charlottenburg,  Meierottostraße 1,10719,exhibition,,,,
7 Artists – 7 Rooms Part 2,7 Artists – 7 Rooms Part 2,"Felix  Droese, 																		K.H. Hödicke, 																		Klaus Heinrich Klaus Heinrich, 																		Dieter Krieg, 																		Georg Karl  Pfahler, 																		Walter  Stöhrer, 																		Michael Wutz",Galerie Friese,,http://www.galeriefriese.de/,16/06/2021,14/08/2021,Charlottenburg,  Meierottostraße 1,10719,exhibition,,,,
"Wheels, Wills, Wells","Wheels, Wills, Wells",Kévin  Bray,Future Gallery,,http://futuregallery.org/,28/05/2021,03/07/2021,Kreuzberg, Schöneberger Ufer 59,10785,exhibition,,,,
Imagining Reality II,Imagining Reality II,"Devra  Fox, 																		Molly  Greene, 																		Haeji  Min, 																		Jeremy  Olson, 																		Christian  Ruiz Berman, 																		Eric  Shaw, 																		Brach  Tiller, 																		Charline  Tyberghein",Future Gallery,,http://futuregallery.org/,10/07/2021,11/09/2021,Kreuzberg, Schöneberger Ufer 59,10785,exhibition,,,,
Assuming you look like me,Assuming you look like me,Raphael  Mayne,GNYP Gallery,,http://www.gnyp.eu/gallery,10/07/2021,08/08/2021,Charlottenburg, Knesebeckstrasse 96,10623,exhibition,,,,
Reckless Scholars & Friends,Reckless Scholars & Friends,Ely Davis & Friends,GNYP Gallery,,http://www.gnyp.eu/gallery,14/08/2021,28/08/2021,Charlottenburg, Knesebeckstrasse 96,10623,exhibition,,,,
Mies In Mind,Mies In Mind,,GNYP Gallery,,http://www.gnyp.eu/gallery,20/08/2021,22/08/2021,Charlottenburg, Knesebeckstrasse 96,10623,exhibition,,,,
32/7+,32/7+,Umut  Yasat,GNYP Gallery,,http://www.gnyp.eu/gallery,19/06/2021,03/07/2021,Charlottenburg, Knesebeckstrasse 96,10623,exhibition,,,,
Second Planet,Second Planet,Jakob  Mattner,Galerie Michael Haas,"“I am the camera,” says Jakob Mattner. In his new paper works, ferns, acanthus leaves and
planets pile up and shine through the black background in green, silver and golden tones.
With their vaguely outlined forms and dark colors, the works are reminiscent of frottages or
photographic negatives. In fact, Mattner has placed plants on the shellac-primed papers and
blew paint over them, creating these prints. The installation Second Planet 2021 casts
vibrating images of stellar nebulae onto a projection screen.",http://www.galeriemichaelhaas.de/,30/04/2021,28/08/2021,Charlottenburg, Niebuhrstr. 5,10629,exhibition,,,,
From Sava to Sava.,From Sava to Sava.,Sava  Sekulić,Galerie Michael Haas,"Sava Sekulić created an oeuvre of extraordinary intensity: intertwined animal and human bodies, frontal portraits, colourful landscapes captured in stylistic reduction. Besides works on cardboard and wood, the many drawings, accompanied by poems, show that poetry and visual art were of equal value to the artist. These works, which belong to naïve art, are on show in Germany again for a long time.",http://www.galeriemichaelhaas.de/,02/07/2021,28/08/2021,Charlottenburg, Niebuhrstr. 5,10629,exhibition,,,,
Ernst Wilhelm Nay,,Ernst Wilhelm Nay,Galerie Michael Haas,"This exhibition shows a cross-section of Ernst Wilhelm Nay's paintings; from rare, representational paintings of the 1920s to well-known colour-intensive, abstract works of the 1960s. A special feature of this exhibition is the painting Fishing Boats on the Harbour Pier (1930). It was purchased by the Berlin National Gallery in 1931 and confiscated by the
National Socialists in 1937.",http://www.galeriemichaelhaas.de/,30/04/2021,26/06/2021,Charlottenburg, Niebuhrstr. 5,10629,exhibition,,,,
Cour: Sommer,Cour: Sommer,Alex Ruthner,Haverkampf Galerie,"Wir freuen uns, die Ausstellung ""Cour: Sommer“ - eine Hommage an Courbet - mit neuen Werken von Alexander Ruthner (*1982) ankündigen zu dürfen. Neben neuen Gemälden präsentiert die Ausstellung zum ersten Mal eine Serie von bemalten Daunendecken des in Wien lebenden Künstlers. Zur Ausstellung erscheint bei DCV Books ein Katalog mit Texten von Elisabeth von Samsonow und Alexander Ruthner.",http://www.haverkampf.gallery/,16/06/2021,08/08/2021,Charlottenburg, Mommsenstrasse 67,10629,exhibition,,,,
Aquarelle,Aquarelle,Walton  Ford,Galerie Max Hetzler I,,http://www.maxhetzler.com/,18/06/2021,14/08/2021,Charlottenburg, Bleibtreustraße 45,10623,exhibition,,,,
unverständliche braune Bilder,unverständliche braune Bilder,Albert Oehlen,Galerie Max Hetzler II,,http://www.maxhetzler.com/,28/04/2021,14/08/2021,Charlottenburg, Goethestraße 2/3,10623,exhibition,,,,
André Butzer,,André Butzer,Galerie Max Hetzler II,,http://www.maxhetzler.com/,15/06/2021,31/08/2021,Charlottenburg, Goethestraße 2/3,10623,exhibition,,,,
unverständliche braune Bilder,unverständliche braune Bilder,Albert Oehlen,Galerie Max Hetzler III,,http://www.maxhetzler.com/,28/04/2021,14/08/2021,Charlottenburg, Bleibtreustraße 15/16,10623,exhibition,,,,
do you feel the same,do you feel the same,Fanny Gicquel,Hua International,"Exhibition-performance in collaboration with choreographer and performer Alice Heyward, dancers Thanos Frydas, Leah Katz, Leah Marojević, Mickey Mahar and Luísa Saraiva. Composer: Delawhere",http://www.hua-international.com/,27/02/2021,10/07/2021,Kreuzberg, Potsdamer Str. 81b,10785,exhibition,,,,
GLIMMER,GLIMMER,Sascha Herrmann,Galerie Anton Janizewski,,http://www.antonjanizewski.com/,22/05/2021,02/07/2021,Charlottenburg, Goethestraße 69,10625,exhibition,,,,
The Neo Baroque Furor Show,The Neo Baroque Furor Show,Margret Eicher,Galerie Michael Janssen,,http://www.galeriemichaeljanssen.de/,30/04/2021,04/09/2021,Charlottenburg, Bleibtreustraße 1,10623,exhibition,,,,
We Had Everything Before Us,We Had Everything Before Us,Adrian Ghenie,Galerie Judin,"With this exhibition of new paintings, Adrian Ghenie and Juerg Judin look back on 15 years of collaboration. It began in 2006 with the now legendary group exhibition The Cluj Connection, followed by a solo exhibition within a year – Ghenie's first appearance on the international scene. Since then, he has become one of the most successful painters of his generation – the first generation to grow up in the new age of the internet. Ghenie's response to this unprecedented flood of information, images and the technical ""anything goes"" was (and remains), his focus on the traditional, almost reactionary medium of painting. What distinguishes him from other figurative painters of his peer group is his profound understanding of art history, that never exhausted itself in citation, and an increasingly virtuoso play with different stages of recognizability.

 

Much has been written about Ghenie’s examination of the famous and the notorious of history who either led the way to the great evolutions of the 20th century (Charles Darwin, Vincent Van Gogh) – or were responsible for its great catastrophes (Hitler, Lenin). Their iconographic faces regularly merge with his own features in brilliant self-portraits. Now, in the ten paintings of the exhibition We Had Everything Before Us, all completed in the spring of 2021, Ghenie for the first time turns to his friends, neighbors and the buoyant pre-pandemic scenes of his home, Berlin. As the exhibition title suggests, the focus lies on the coming of age and the ensuing ""lack of history"". It is about the moment when life is thought of exclusively in the present and future tense and the past tense seems a long way off.",http://www.galeriejudin.com/,01/05/2021,10/07/2021,Kreuzberg, Potsdamer Straße 83,10785,exhibition,,,,
Von den ersten und den letzten Dingen,Von den ersten und den letzten Dingen,"Enrique Martinez Celaya, 																		Käthe  Kollwitz",Galerie Judin,"Enrique Martínez Celaya (*1964) was just a teenager when he first discovered German culture. It may seem surprising that an artist born in Cuba, who grew up in Spain and Puerto Rico and entirely outside the realm of German influence, is to this day so fascinated by the “Land of Poets and Thinkers.” Whereas most people would rate Nietzsche, Brecht and Hegel as heavy duty, this young Latino ravenously devoured the work of German writers and philosophers, and in so doing he stumbled across Käthe Kollwitz (1867–1945). The most famous female German artist of all, whose work is situated between Realism and Expressionism, became an elective affinity and an inspiration for his own “being an artist in this world.” For some years now, his older colleague (or at least one of her self-portraits, which now hangs in his studio) has looked over his shoulder as he works. Martínez Celaya shares this passion for Kollwitz with Gudrun and Martin Fritsch, who have promoted her oeuvre in two ways. The Berlin-based husband-and-wife team have not only built a significant collection of her art but were also managing the affairs of the private Käthe-Kollwitz-Museum in Berlin for many years. The Fritsch Collection served Martínez Celaya as a springboard for a cycle consisting of nine paintings, two works on paper, and a sculpture. Most of these works are adaptations of privotal drawings by Kollwitz that testify to her profound humanism and her desire to have a social impact. In times marked by a global pandemic and refugee crisis, Martínez Celaya brings her humanitarian message into the present with a new intensity. The result is a homage in a double sense: to the artist who played such a decisive part in his own artistic formation and to the two collectors who have made such a significant contribution to the knowledge and appreciation of her work.",http://www.galeriejudin.com/,13/07/2021,04/09/2021,Kreuzberg, Potsdamer Straße 83,10785,exhibition,,,,
Danach,Danach,Christian  Boltanski,KEWENIG,"After Christian Boltanski inaugurated the then newly occupied premises of Kewenig on Museum Island in 2013, 'Danach' (‘Afterwards’) is the French artist's second exhibition at the gallery’s Berlin location. With an exhibition conceived as a Gesamtkunstwerk, Boltanski occupies the entire gallery building with examples of his most famous groups of works in which the core themes of his artistic work – the transience of the individual and remembering – are present.",http://www.kewenig.com/,28/04/2021,10/07/2021,Mitte, Brüderstr. 10,10178,exhibition,,,,
I (still) love the smell of oil color in the morning,I (still) love the smell of oil color in the morning,Cabrita,KEWENIG Warehouse,Kewenig is delighted to present an exhibition of paintings by Portuguese artist Cabrita (b.1956) in the gallery’s warehouse and Schaulager in Moabit. It is the first time that an artist takes over the complete ground floor of the historic landmark substation building for a solo show.,,28/04/2021,10/07/2021,Tiergarten,  Wilhelmshavener Str. 7,10551,exhibition,,,,
